,x,pdf,cdf,type,type_specific,parameter1,parameter2,location,parameter
162,-1.4957031842411417,0.13035385812034178,0.06736551007961267,normal,normal: mean=0 var=1,0.0,1.0,0,
163,-1.478609433564094,0.13371007242250676,0.06962236499471049,normal,normal: mean=0 var=1,0.0,1.0,0,
164,-1.4615156828870468,0.13711262934892446,0.07193698742960798,normal,normal: mean=0 var=1,0.0,1.0,0,
165,-1.4444219322099991,0.1405606947580289,0.07431016251147275,normal,normal: mean=0 var=1,0.0,1.0,0,
166,-1.427328181532952,0.14405337302034715,0.07674266058408312,normal,normal: mean=0 var=1,0.0,1.0,0,
167,-1.4102344308559043,0.14758970653204675,0.07923523615250061,normal,normal: mean=0 var=1,0.0,1.0,0,
168,-1.393140680178857,0.1511686753079684,0.08178862682010196,normal,normal: mean=0 var=1,0.0,1.0,0,
169,-1.3760469295018094,0.1547891966568444,0.0844035522193533,normal,normal: mean=0 var=1,0.0,1.0,0,
170,-1.3589531788247622,0.15845012494129226,0.08708071293775427,normal,normal: mean=0 var=1,0.0,1.0,0,
171,-1.341859428147715,0.1621502514250687,0.08982078944042077,normal,normal: mean=0 var=1,0.0,1.0,0,
172,-1.3247656774706673,0.1658883042099411,0.09262444099082034,normal,normal: mean=0 var=1,0.0,1.0,0,
173,-1.30767192679362,0.1696629482644093,0.09549230457120955,normal,normal: mean=0 var=1,0.0,1.0,0,
174,-1.2905781761165724,0.17347278554637216,0.09842499380436331,normal,normal: mean=0 var=1,0.0,1.0,0,
175,-1.2734844254395252,0.17731635522168407,0.10142309787821702,normal,normal: mean=0 var=1,0.0,1.0,0,
176,-1.2563906747624776,0.18119213398039904,0.1044871804750776,normal,normal: mean=0 var=1,0.0,1.0,0,
177,-1.2392969240854304,0.18509853645233193,0.10761777870708744,normal,normal: mean=0 var=1,0.0,1.0,0,
178,-1.2222031734083827,0.18903391572340358,0.11081540205964996,normal,normal: mean=0 var=1,0.0,1.0,0,
179,-1.2051094227313355,0.19299656395405487,0.11408053134455343,normal,normal: mean=0 var=1,0.0,1.0,0,
180,-1.1880156720542878,0.19698471310083723,0.11741361766454578,normal,normal: mean=0 var=1,0.0,1.0,0,
181,-1.1709219213772406,0.20099653574209214,0.12081508139113178,normal,normal: mean=0 var=1,0.0,1.0,0,
182,-1.153828170700193,0.20503014600844152,0.12428531115738062,normal,normal: mean=0 var=1,0.0,1.0,0,
183,-1.1367344200231457,0.20908360061860473,0.1278246628675373,normal,normal: mean=0 var=1,0.0,1.0,0,
184,-1.119640669346098,0.21315490002085513,0.13143345872524353,normal,normal: mean=0 var=1,0.0,1.0,0,
185,-1.1025469186690509,0.21724198964021363,0.13511198628217302,normal,normal: mean=0 var=1,0.0,1.0,0,
186,-1.0854531679920032,0.22134276123126342,0.1388604975088913,normal,normal: mean=0 var=1,0.0,1.0,0,
187,-1.068359417314956,0.22545505433624677,0.14267920788973715,normal,normal: mean=0 var=1,0.0,1.0,0,
188,-1.0512656666379083,0.2295766578478841,0.14656829554352824,normal,normal: mean=0 var=1,0.0,1.0,0,
189,-1.034171915960861,0.23370531167612518,0.1505279003718678,normal,normal: mean=0 var=1,0.0,1.0,0,
190,-1.0170781652838135,0.23783870851781674,0.15455812323682544,normal,normal: mean=0 var=1,0.0,1.0,0,
191,-0.9999844146067662,0.24197449572803575,0.15865902516973762,normal,normal: mean=0 var=1,0.0,1.0,0,
192,-0.9828906639297186,0.24611027729160995,0.16283062661285636,normal,normal: mean=0 var=1,0.0,1.0,0,
193,-0.9657969132526714,0.2502436158931082,0.16707290669554115,normal,normal: mean=0 var=1,0.0,1.0,0,
194,-0.9487031625756241,0.25437203508335704,0.17138580254666436,normal,normal: mean=0 var=1,0.0,1.0,0,
195,-0.9316094118985765,0.25849302154030035,0.17576920864485912,normal,normal: mean=0 var=1,0.0,1.0,0,
196,-0.9145156612215293,0.2626040274217921,0.18022297620820255,normal,normal: mean=0 var=1,0.0,1.0,0,
197,-0.8974219105444816,0.2667024728076825,0.18474691262488657,normal,normal: mean=0 var=1,0.0,1.0,0,
198,-0.8803281598674344,0.2707857482283257,0.18934078092637252,normal,normal: mean=0 var=1,0.0,1.0,0,
199,-0.8632344091903867,0.2748512172764214,0.19400429930448782,normal,normal: mean=0 var=1,0.0,1.0,0,
200,-0.8461406585133395,0.2788962192988727,0.1987371406738545,normal,normal: mean=0 var=1,0.0,1.0,0,
201,-0.8290469078362919,0.2829180721651355,0.203538932280993,normal,normal: mean=0 var=1,0.0,1.0,0,
202,-0.8119531571592447,0.2869140751083157,0.20840925536137295,normal,normal: mean=0 var=1,0.0,1.0,0,
203,-0.794859406482197,0.29088151163507253,0.21334764484562413,normal,normal: mean=0 var=1,0.0,1.0,0,
204,-0.7777656558051498,0.2948176525001799,0.21835358911604585,normal,normal: mean=0 var=1,0.0,1.0,0,
205,-0.7606719051281021,0.29871975874141177,0.22342652981448652,normal,normal: mean=0 var=1,0.0,1.0,0,
206,-0.7435781544510549,0.30258508477022733,0.22856586170258197,normal,normal: mean=0 var=1,0.0,1.0,0,
207,-0.7264844037740072,0.3064108815135607,0.23377093257527126,normal,normal: mean=0 var=1,0.0,1.0,0,
208,-0.70939065309696,0.31019439960184436,0.23904104322841724,normal,normal: mean=0 var=1,0.0,1.0,0,
209,-0.6922969024199124,0.31393289259824636,0.24437544748128387,normal,normal: mean=0 var=1,0.0,1.0,0,
