x,pdf,cdf,type,type_specific,parameter1,parameter2,location,parameter
9.781804761715478,0.0008451775058366772,0.99938660602832,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
9.815568881321038,0.0008078820132691073,0.9994145085216921,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
9.8493330009266,0.0007721728822343454,0.9994411787312488,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
9.883097120532161,0.0007379857539178128,0.9994666691255716,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
9.916861240137724,0.0007052587177561969,0.999491030041796,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
9.950625359743285,0.0006739322268051129,0.9995143097668394,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
9.984389479348847,0.0006439490155836875,0.9995365546158129,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
10.018153598954408,0.0006152540203482022,0.9995578090076995,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
10.051917718559968,0.0005877943017462419,0.9995781155383819,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
10.08568183816553,0.0005615189698024645,0.9995975150510976,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
10.119445957771092,0.0005363791111866721,0.9996160467044004,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
10.153210077376654,0.000512327718714722,0.9996337480377033,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
10.186974196982215,0.0004893196230326507,0.9996506550344789,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
10.220738316587777,0.000467311426434414,0.9996668021831884,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
10.254502436193338,0.0004462614387636506,0.9996822225360122,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
10.2882665557989,0.000426129615350087,0.9996969477654505,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
10.322030675404461,0.000406877496931377,0.9997110082188613,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
10.355794795010022,0.00038846815151148543,0.9997244329710039,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
10.389558914615584,0.00037086611810708067,0.9997372498746508,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
10.423323034221145,0.0003540373523338218,0.9997494856093314,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
10.457087153826707,0.0003379491737848369,0.9997611657282683,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
10.490851273432268,0.00032257021515431857,0.9997723147035679,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
10.52461539303783,0.0003078703730595989,0.9997829559697207,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
10.558379512643391,0.0002938207605157562,0.9997931119654696,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
10.592143632248954,0.0002803936610173797,0.9998028041741012,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
10.625907751854514,0.00026756248418284047,0.9998120531622124,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
10.659671871460075,0.00025530172291705737,0.9998208786170061,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
10.693435991065638,0.0002435869120495152,0.9998292993821642,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
10.727200110671198,0.00023239458840499527,0.9998373334923506,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
10.76096423027676,0.00022170225226526635,0.9998449982063866,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
10.794728349882321,0.00021148833018075016,0.999852310039151,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
10.828492469487884,0.0002017321390919548,0.9998592847922445,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
10.862256589093445,0.00019241385172130622,0.9998659375834655,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
10.896020708699007,0.00018351446319676005,0.9998722828751382,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
10.929784828304568,0.00017501575886945595,0.9998783345013332,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
10.963548947910128,0.00016690028328844548,0.9998841056940224,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
10.997313067515691,0.00015915131029638216,0.9998896091082039,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
11.031077187121252,0.00015175281421087204,0.9998948568460373,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
11.064841306726814,0.0001446894420569991,0.9998998604800221,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
11.098605426332375,0.00013794648681739064,0.9999046310752575,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
11.132369545937937,0.00013150986166697817,0.9999091792108142,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
11.166133665543498,0.00012536607516043071,0.9999135150002534,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
11.19989778514906,0.0001195022073410611,0.9999176481113236,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
11.233661904754621,0.00011390588674078673,0.9999215877848651,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
11.267426024360184,0.0001085652682415359,0.9999253428529536,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
11.301190143965744,0.00010346901176927214,0.99992892175631,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
11.334954263571305,9.860626179257783e-05,0.999932332561004,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
11.368718383176867,9.396662759852034e-05,0.9999355829744795,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
11.402482502782428,8.954016431926814e-05,0.999938680360926,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
11.43624662238799,8.531735468367213e-05,0.9999416317560228,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
11.470010741993551,8.128909146876336e-05,0.9999444438810774,gamma,gamma: alpha=7.5 theta=0.5,7.5,0.5,0,
